SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON
22024,1627759,0022400528,"Jan 10, 2025",BOS vs. SAC,L,35,9,19,0.474,1,5,0.2,9,11,0.818,1,0,1,5,1,1,1,2,28,-9,1,2024-25
22022,1627759,0022200621,"Jan 11, 2023",BOS vs. NOP,W,35,15,21,0.714,3,6,0.5,8,9,0.889,4,8,12,0,0,1,2,3,41,18,1,2022-23
22023,1627759,0022300528,"Jan 11, 2024",BOS @ MIL,L,18,5,14,0.357,0,1,0.0,0,0,0.0,1,3,4,3,0,0,0,1,10,-17,1,2023-24
22024,1627759,0022400542,"Jan 12, 2025",BOS vs. NOP,W,39,6,14,0.429,0,2,0.0,4,4,1.0,2,6,8,7,0,0,4,3,16,0,1,2024-25
22023,1627759,0022300542,"Jan 13, 2024",BOS vs. HOU,W,28,11,15,0.733,4,6,0.667,6,10,0.6,1,5,6,2,2,2,3,5,32,19,1,2023-24
22024,1627759,0022400562,"Jan 15, 2025",BOS @ TOR,L,33,4,16,0.25,1,1,1.0,1,2,0.5,2,5,7,4,1,0,2,3,10,-23,1,2024-25
22023,1627759,0022300571,"Jan 17, 2024",BOS vs. SAS,W,31,8,16,0.5,3,6,0.5,2,2,1.0,1,6,7,5,1,1,3,2,21,12,1,2023-24
22024,1627759,0022400577,"Jan 17, 2025",BOS vs. ORL,W,33,5,12,0.417,1,2,0.5,9,9,1.0,1,5,6,6,3,0,3,3,20,22,1,2024-25
22024,1627759,0022400587,"Jan 18, 2025",BOS vs. ATL,L,43,9,27,0.333,2,9,0.222,4,5,0.8,6,5,11,8,2,0,4,2,24,-9,1,2024-25
22022,1627759,0022200679,"Jan 19, 2023",BOS vs. GSW,W,41,6,18,0.333,1,4,0.25,3,6,0.5,1,8,9,3,1,0,2,5,16,-6,1,2022-23
22023,1627759,0022300586,"Jan 19, 2024",BOS vs. DEN,L,36,6,19,0.316,1,9,0.111,0,2,0.0,0,2,2,1,2,0,0,3,13,-2,1,2023-24
22024,1627759,0022400604,"Jan 20, 2025",BOS @ GSW,W,29,8,14,0.571,1,3,0.333,0,0,0.0,1,3,4,2,0,0,2,2,17,27,1,2024-25
22022,1627759,0022200692,"Jan 21, 2023",BOS @ TOR,W,42,10,23,0.435,4,8,0.5,3,3,1.0,2,6,8,6,3,0,5,0,27,-4,1,2022-23
22023,1627759,0022300603,"Jan 21, 2024",BOS @ HOU,W,31,6,14,0.429,1,3,0.333,0,2,0.0,0,11,11,10,3,0,3,0,13,4,1,2023-24
22023,1627759,0022300611,"Jan 22, 2024",BOS @ DAL,W,37,13,22,0.591,2,7,0.286,6,9,0.667,1,2,3,4,0,2,0,5,34,-6,1,2023-24
22024,1627759,0022400620,"Jan 22, 2025",BOS @ LAC,W,39,8,15,0.533,2,2,1.0,7,9,0.778,0,2,2,6,3,1,5,4,25,1,1,2024-25
22022,1627759,0022200707,"Jan 23, 2023",BOS @ ORL,L,37,10,22,0.455,5,11,0.455,1,2,0.5,2,3,5,3,1,0,5,1,26,-20,1,2022-23
22024,1627759,0022400629,"Jan 23, 2025",BOS @ LAL,L,33,7,19,0.368,3,9,0.333,0,3,0.0,2,6,8,3,1,0,0,2,17,-18,1,2024-25
22023,1627759,0022300630,"Jan 25, 2024",BOS @ MIA,W,27,7,11,0.636,4,8,0.5,0,0,0.0,1,3,4,5,3,0,3,1,18,22,1,2023-24
22024,1627759,0022400635,"Jan 25, 2025",BOS @ DAL,W,31,10,21,0.476,0,5,0.0,2,6,0.333,1,7,8,6,0,0,0,4,22,10,1,2024-25
22022,1627759,0022200730,"Jan 26, 2023",BOS vs. NYK,L,42,8,22,0.364,1,8,0.125,5,7,0.714,2,7,9,2,1,0,3,2,22,3,1,2022-23
22023,1627759,0022300646,"Jan 27, 2024",BOS vs. LAC,L,24,3,13,0.231,0,2,0.0,2,2,1.0,5,1,6,2,0,1,1,3,8,-18,1,2023-24
22024,1627759,0022400650,"Jan 27, 2025",BOS vs. HOU,L,38,10,23,0.435,3,9,0.333,5,6,0.833,0,4,4,4,0,1,2,4,28,-12,1,2024-25
22022,1627759,0022200749,"Jan 28, 2023",BOS vs. LAL,W,39,13,23,0.565,2,9,0.222,9,11,0.818,1,8,9,3,1,1,3,5,37,1,1,2022-23
22023,1627759,0022300659,"Jan 29, 2024",BOS vs. NOP,W,37,8,15,0.533,1,5,0.2,5,7,0.714,2,9,11,7,0,1,0,3,22,6,1,2023-24
22024,1627759,0022400666,"Jan 29, 2025",BOS vs. CHI,W,36,10,18,0.556,1,5,0.2,7,11,0.636,0,6,6,6,1,0,0,3,28,23,1,2024-25
22023,1627759,0022300670,"Jan 30, 2024",BOS vs. IND,W,36,9,15,0.6,0,3,0.0,7,8,0.875,2,4,6,2,2,0,0,0,25,-6,1,2023-24
22024,1627759,0022400683,"Jan 31, 2025",BOS @ NOP,W,35,11,18,0.611,3,6,0.5,3,4,0.75,1,5,6,4,0,0,1,4,28,2,1,2024-25
22022,1627759,0022200935,"Mar 01, 2023",BOS vs. CLE,W,37,6,15,0.4,2,5,0.4,2,2,1.0,0,3,3,4,0,0,2,3,16,2,1,2022-23
22023,1627759,0022300859,"Mar 01, 2024",BOS vs. DAL,W,31,11,20,0.55,2,5,0.4,1,1,1.0,1,6,7,5,1,0,0,3,25,16,1,2023-24
22024,1627759,0022400866,"Mar 02, 2025",BOS vs. DEN,W,37,6,15,0.4,2,4,0.5,8,9,0.889,0,5,5,8,2,2,5,2,22,10,1,2024-25
22022,1627759,0022200948,"Mar 03, 2023",BOS vs. BKN,L,43,15,27,0.556,3,8,0.375,2,5,0.4,0,5,5,4,3,1,3,0,35,-11,1,2022-23
22023,1627759,0022300872,"Mar 03, 2024",BOS vs. GSW,W,22,11,19,0.579,5,10,0.5,2,2,1.0,1,2,3,3,1,0,1,2,29,35,1,2023-24
22022,1627759,0022200969,"Mar 05, 2023",BOS vs. NYK,L,47,12,25,0.48,2,5,0.4,3,3,1.0,2,6,8,1,4,1,3,2,29,8,1,2022-23
22023,1627759,0022300886,"Mar 05, 2024",BOS @ CLE,L,37,8,20,0.4,3,7,0.429,2,2,1.0,2,1,3,4,0,0,1,3,21,9,1,2023-24
22024,1627759,0022400891,"Mar 05, 2025",BOS vs. POR,W,40,7,23,0.304,0,4,0.0,4,6,0.667,3,5,8,8,1,0,3,2,18,15,1,2024-25
22022,1627759,0022200971,"Mar 06, 2023",BOS @ CLE,L,45,12,26,0.462,1,7,0.143,7,10,0.7,2,11,13,9,0,1,4,5,32,-1,1,2022-23
22023,1627759,0022300906,"Mar 07, 2024",BOS @ DEN,L,41,16,29,0.552,2,7,0.286,7,14,0.5,6,8,14,4,2,0,2,4,41,5,1,2023-24
22022,1627759,0022200986,"Mar 08, 2023",BOS vs. POR,W,25,4,10,0.4,0,3,0.0,3,3,1.0,0,3,3,3,1,0,2,2,11,7,1,2022-23
22024,1627759,0022400918,"Mar 08, 2025",BOS vs. LAL,W,42,13,25,0.52,3,6,0.5,2,4,0.5,1,5,6,2,3,0,2,2,31,11,1,2024-25
22023,1627759,0022300920,"Mar 09, 2024",BOS @ PHX,W,34,10,21,0.476,3,7,0.429,4,7,0.571,1,2,3,3,2,0,2,1,27,6,1,2023-24
22024,1627759,0022400929,"Mar 10, 2025",BOS vs. UTA,W,38,8,20,0.4,0,5,0.0,10,11,0.909,0,8,8,7,3,1,3,1,26,17,1,2024-25
22022,1627759,0022201008,"Mar 11, 2023",BOS @ ATL,W,38,10,18,0.556,1,5,0.2,3,4,0.75,0,5,5,7,2,0,1,3,24,3,1,2022-23
22023,1627759,0022300938,"Mar 11, 2024",BOS @ POR,W,33,13,29,0.448,1,8,0.125,0,0,0.0,3,3,6,5,1,0,0,3,27,10,1,2023-24
22024,1627759,0022400946,"Mar 12, 2025",BOS vs. OKC,L,38,5,15,0.333,0,5,0.0,0,0,0.0,1,4,5,2,2,1,2,6,10,-2,1,2024-25
22022,1627759,0022201024,"Mar 13, 2023",BOS @ HOU,L,39,16,25,0.64,4,10,0.4,7,8,0.875,1,4,5,2,1,1,2,1,43,3,1,2022-23
22023,1627759,0022300955,"Mar 14, 2024",BOS vs. PHX,W,33,14,23,0.609,5,9,0.556,4,6,0.667,0,5,5,3,2,0,1,2,37,8,1,2023-24
22022,1627759,0022201039,"Mar 15, 2023",BOS @ MIN,W,37,12,24,0.5,5,8,0.625,6,8,0.75,3,7,10,1,1,0,2,2,35,3,1,2022-23
22024,1627759,0022400968,"Mar 15, 2025",BOS @ BKN,W,24,3,8,0.375,1,3,0.333,1,2,0.5,0,6,6,3,1,2,0,0,8,9,1,2024-25
22022,1627759,0022201053,"Mar 17, 2023",BOS @ POR,W,37,12,23,0.522,2,6,0.333,1,3,0.333,3,3,6,5,2,0,4,5,27,9,1,2022-23
22022,1627759,0022201062,"Mar 18, 2023",BOS @ UTA,L,35,9,19,0.474,4,9,0.444,3,4,0.75,0,4,4,6,0,0,0,2,25,-8,1,2022-23
22023,1627759,0022300984,"Mar 18, 2024",BOS vs. DET,W,30,11,20,0.55,3,6,0.5,6,8,0.75,0,7,7,3,1,0,3,2,31,22,1,2023-24
22023,1627759,0022300998,"Mar 20, 2024",BOS vs. MIL,W,37,6,15,0.4,2,4,0.5,7,10,0.7,4,4,8,2,1,0,1,3,21,-2,1,2023-24
22022,1627759,0022201081,"Mar 21, 2023",BOS @ SAC,W,34,10,16,0.625,4,7,0.571,3,3,1.0,0,5,5,4,0,0,1,2,27,20,1,2022-23
22023,1627759,0022301011,"Mar 22, 2024",BOS @ DET,W,33,13,19,0.684,3,8,0.375,4,7,0.571,0,4,4,0,4,0,4,1,33,9,1,2023-24
22022,1627759,0022201097,"Mar 24, 2023",BOS vs. IND,W,33,10,23,0.435,3,6,0.5,4,6,0.667,1,6,7,4,0,0,3,2,27,11,1,2022-23
22024,1627759,0022401044,"Mar 24, 2025",BOS @ SAC,W,26,4,8,0.5,1,3,0.333,0,0,0.0,0,2,2,0,1,0,3,1,9,-1,1,2024-25
22023,1627759,0022301034,"Mar 25, 2024",BOS @ ATL,L,37,10,22,0.455,2,7,0.286,2,4,0.5,2,2,4,1,2,0,1,3,24,-2,1,2023-24
