SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PTS_L1,PTS_L3,PTS_L5,MIN_L3,FGA_L3,HOME,REST_DAYS,PTS_next_game
22023,1627759,22300344,2023-12-17,BOS vs. ORL,W,34,12,20,0.6,5,8,0.625,2,2,1.0,1,4,5,6,1,1,2,4,31,11,1,2023-24,26.0,18.333333333333332,20.4,31.0,15.333333333333334,1,366.0,24.0
22022,1627759,22200445,2022-12-18,BOS vs. ORL,L,39,10,25,0.4,2,10,0.2,2,2,1.0,3,11,14,2,3,2,5,3,24,2,1,2022-23,31.0,22.666666666666668,21.6,32.333333333333336,17.0,1,-364.0,28.0
22023,1627759,22300362,2023-12-19,BOS @ GSW,L,41,10,22,0.455,1,4,0.25,7,8,0.875,3,5,8,7,0,1,4,2,28,-3,1,2023-24,24.0,27.0,22.0,36.666666666666664,20.666666666666668,0,366.0,19.0
22024,1627759,22400363,2024-12-19,BOS vs. CHI,L,36,7,17,0.412,1,8,0.125,4,5,0.8,1,2,3,4,1,0,3,1,19,-19,1,2024-25,28.0,27.666666666666668,24.0,38.0,22.333333333333332,1,366.0,28.0
22023,1627759,22300373,2023-12-20,BOS @ SAC,W,29,11,21,0.524,0,3,0.0,6,7,0.857,1,4,5,6,0,0,0,2,28,22,1,2023-24,19.0,23.666666666666668,25.6,38.666666666666664,21.333333333333332,0,-365.0,19.0
22022,1627759,22200469,2022-12-21,BOS vs. IND,L,36,8,23,0.348,1,5,0.2,2,2,1.0,4,6,10,2,1,0,4,1,19,-6,1,2022-23,28.0,25.0,26.0,35.333333333333336,20.0,1,-364.0,19.0
22024,1627759,22400381,2024-12-21,BOS @ CHI,W,33,9,20,0.45,0,5,0.0,1,2,0.5,2,3,5,8,1,0,2,0,19,16,1,2024-25,19.0,22.0,23.6,33.666666666666664,20.333333333333332,0,731.0,36.0
22022,1627759,22200482,2022-12-23,BOS vs. MIN,W,37,13,29,0.448,3,13,0.231,7,10,0.7,3,4,7,3,1,1,2,3,36,8,1,2022-23,19.0,22.0,22.6,32.666666666666664,21.333333333333332,1,-729.0,24.0
22023,1627759,22300389,2023-12-23,BOS @ LAC,W,29,9,17,0.529,3,6,0.5,3,4,0.75,3,3,6,2,1,0,3,2,24,29,1,2023-24,36.0,24.666666666666668,24.2,35.333333333333336,24.0,0,365.0,35.0
22024,1627759,22400393,2024-12-23,BOS @ ORL,L,37,15,29,0.517,1,7,0.143,4,6,0.667,2,7,9,4,3,0,5,4,35,6,1,2024-25,24.0,26.333333333333332,25.2,33.0,22.0,0,366.0,29.0
22022,1627759,22200495,2022-12-25,BOS vs. MIL,W,37,11,19,0.579,5,9,0.556,2,6,0.333,0,5,5,4,1,0,4,3,29,11,1,2022-23,35.0,31.666666666666668,26.6,34.333333333333336,25.0,1,-729.0,19.0
22023,1627759,22300403,2023-12-25,BOS @ LAL,W,33,7,17,0.412,1,5,0.2,4,7,0.571,3,2,5,2,3,0,2,3,19,9,1,2023-24,29.0,29.333333333333332,28.6,34.333333333333336,21.666666666666668,0,365.0,23.0
22024,1627759,22400407,2024-12-25,BOS vs. PHI,L,43,10,23,0.435,3,6,0.5,0,3,0.0,1,6,7,4,2,0,5,4,23,-1,1,2024-25,19.0,27.666666666666668,28.6,35.666666666666664,21.666666666666668,1,366.0,39.0
22022,1627759,22200507,2022-12-27,BOS vs. HOU,W,35,14,26,0.538,6,15,0.4,5,5,1.0,0,1,1,2,3,0,2,1,39,21,1,2022-23,23.0,23.666666666666668,26.0,37.666666666666664,19.666666666666668,1,-729.0,44.0
22024,1627759,22400420,2024-12-27,BOS vs. IND,W,37,16,24,0.667,6,11,0.545,6,6,1.0,3,2,5,3,4,0,1,0,44,30,1,2024-25,39.0,27.0,29.0,37.0,22.0,1,731.0,29.0
22022,1627759,22200525,2022-12-29,BOS vs. LAC,W,33,12,25,0.48,0,8,0.0,5,5,1.0,2,5,7,2,0,0,3,5,29,5,1,2022-23,44.0,35.333333333333336,30.8,38.333333333333336,24.333333333333332,1,-729.0,31.0
22023,1627759,22300432,2023-12-29,BOS vs. TOR,W,41,11,16,0.688,5,6,0.833,4,5,0.8,1,9,10,6,0,0,7,4,31,12,1,2023-24,29.0,37.333333333333336,30.8,35.0,25.0,1,365.0,31.0
22024,1627759,22400437,2024-12-29,BOS vs. IND,L,36,13,21,0.619,2,6,0.333,3,5,0.6,0,4,4,6,1,0,2,3,31,-10,1,2024-25,31.0,34.666666666666664,33.2,37.0,21.666666666666668,1,366.0,24.0
22023,1627759,22300448,2023-12-31,BOS @ SAS,W,26,9,13,0.692,2,2,1.0,4,6,0.667,1,5,6,3,2,0,2,0,24,26,1,2023-24,31.0,30.333333333333332,34.8,36.666666666666664,20.666666666666668,0,-364.0,12.0
22024,1627759,22400449,2024-12-31,BOS vs. TOR,W,25,6,13,0.462,0,2,0.0,0,0,0.0,5,4,9,3,1,0,3,1,12,11,1,2024-25,24.0,28.666666666666668,31.8,34.333333333333336,16.666666666666668,1,366.0,26.0
22022,1627759,22200772,2023-02-01,BOS vs. BKN,W,32,8,16,0.5,7,12,0.583,3,5,0.6,0,3,3,3,0,0,2,0,26,35,1,2022-23,12.0,22.333333333333332,25.4,29.0,15.666666666666666,1,-699.0,8.0
22023,1627759,22300684,2024-02-01,BOS vs. LAL,L,27,4,12,0.333,0,3,0.0,0,0,0.0,3,5,8,7,1,0,3,5,8,-20,1,2023-24,26.0,20.666666666666668,24.8,27.666666666666668,14.0,1,365.0,21.0
22024,1627759,22400698,2025-02-02,BOS @ PHI,W,42,9,17,0.529,2,7,0.286,1,2,0.5,3,7,10,6,1,0,2,4,21,17,1,2024-25,8.0,15.333333333333334,20.2,28.0,13.666666666666666,0,367.0,27.0
22022,1627759,22200788,2023-02-03,BOS vs. PHX,L,39,9,21,0.429,3,12,0.25,6,9,0.667,0,8,8,4,3,0,2,3,27,-5,1,2022-23,21.0,18.333333333333332,18.2,33.666666666666664,15.0,1,-730.0,16.0
22024,1627759,22400710,2025-02-04,BOS @ CLE,W,28,7,12,0.583,0,0,0.0,2,2,1.0,2,7,9,6,0,0,5,5,16,-9,1,2024-25,27.0,18.666666666666668,18.8,36.0,16.666666666666668,0,732.0,25.0
